source	target	value
Fire Sage	Shyu	1.0
Fire Sage	Zhao	1.0
Fire Sage	Zuko	2.0
Ms. Kwan	Sozin	1.0
Prisoner	Tyro	1.0
Students	Ozai	1.0
Governor	Bumi	1.0
The Duke	Duke	1.0
The Duke	Pipsqueak	2.0
Everyone	Appa	1.0
Children	Aang	1.0
Calm Man	All	1.0
Ham Gao	Everyone	1.0
Boulder	Boulder	7.0
Boulder	Hippo	2.0
Captain	General	1.0
Captain	Iroh	1.0
Ty  Lee	Zuko	1.0
Soldier	Captain	1.0
Soldier	Commander	1.0
Soldier	Zhao	1.0
Soldier	Zuko	1.0
Joo Dee	Aang	1.0
Joo Dee	Everyone	1.0
Joo Dee	Katara	2.0
Joo Dee	Li	2.0
Joo Dee	Sokka	2.0
Joo Dee	Toph	2.0
Old Man	Boy	1.0
Piandao	Sokka	6.0
Piandao	Zuko	1.0
Yon Rha	Mother	3.0
Aunt Wu	All	1.0
Sha-Mo	Gashuin	1.0
Xin Fu	Boulder	5.0
Xin Fu	Hippo	2.0
Xin Fu	Man	1.0
Katara	Aang	215.0
Katara	All	5.0
Katara	Appa	28.0
Katara	Azula	3.0
Katara	Bato	3.0
Katara	Both	3.0
Katara	Boulder	2.0
Katara	Bumi	4.0
Katara	Dock	1.0
Katara	Everyone	8.0
Katara	General	2.0
Katara	Guru	1.0
Katara	Gyatso	2.0
Katara	Hakoda	1.0
Katara	Hama	2.0
Katara	Haru	11.0
Katara	Iroh	1.0
Katara	Jet	15.0
Katara	Jin	1.0
Katara	June	1.0
Katara	Katara	4.0
Katara	Koko	1.0
Katara	Lee	1.0
Katara	Li	4.0
Katara	Mayor	1.0
Katara	Meng	1.0
Katara	Moku	1.0
Katara	Momo	17.0
Katara	Mother	1.0
Katara	Oyagi	1.0
Katara	Pakku	5.0
Katara	Roku	4.0
Katara	Sokka	108.0
Katara	Sozin	2.0
Katara	Suki	2.0
Katara	Teo	1.0
Katara	Toph	26.0
Katara	Ying	1.0
Katara	Yu	1.0
Katara	Zhao	1.0
Katara	Zuko	19.0
Azulon	Everyone	1.0
Azulon	Iroh	2.0
Azulon	Ozai	1.0
Ty  Lee	Zuko	1.0
Ty  Lee	Zuko	1.0
Mother	Haru	3.0
Mother	Ozai	1.0
Hakoda	Aang	2.0
Hakoda	Appa	1.0
Hakoda	Azulon	1.0
Hakoda	Bato	2.0
Hakoda	Everyone	6.0
Hakoda	Hakoda	1.0
Hakoda	Katara	7.0
Hakoda	Kya	1.0
Hakoda	Sokka	13.0
Hakoda	Warden	1.0
Warden	Azula	1.0
Warden	Captain	1.0
Warden	Hakoda	1.0
Warden	Zuko	1.0
Herald	All	1.0
Herald	Zhao	2.0
Gyatso	Aang	2.0
(Scene	All	1.0
(Scene	Boulder	1.0
(Scene	Hippo	1.0
(Scene	Sokka	1.0
(Scene	Toph	1.0
Abbot	Aang	1.0
Abbot	Gyatso	1.0
Voice	Boy	1.0
Oyagi	Girls	1.0
Oyagi	Suki	1.0
Gansu	Gow	1.0
Gansu	Lee	2.0
Gansu	Sela	1.0
Sokka	Aang	95.0
Sokka	All	11.0
Sokka	Appa	33.0
Sokka	Azula	3.0
Sokka	Bato	4.0
Sokka	Boulder	3.0
Sokka	Boy	3.0
Sokka	Bumi	3.0
Sokka	Captain	1.0
Sokka	Chong	1.0
Sokka	Dock	2.0
Sokka	Duke	1.0
Sokka	Everyone	6.0
Sokka	Gang	1.0
Sokka	General	1.0
Sokka	Guru	2.0
Sokka	Gyatso	1.0
Sokka	Hahn	1.0
Sokka	Hama	3.0
Sokka	Haru	3.0
Sokka	Headmaster	1.0
Sokka	Hue	1.0
Sokka	Iroh	1.0
Sokka	Jet	8.0
Sokka	Jin	4.0
Sokka	Katara	69.0
Sokka	Lee	2.0
Sokka	Li	4.0
Sokka	Man	7.0
Sokka	Moku	1.0
Sokka	Momo	17.0
Sokka	Mother	1.0
Sokka	Ozai	1.0
Sokka	Pakku	1.0
Sokka	Pao	1.0
Sokka	Piandao	1.0
Sokka	Pipsqueak	1.0
Sokka	Roku	1.0
Sokka	Shyu	1.0
Sokka	Sokka	14.0
Sokka	Sozin	1.0
Sokka	Suki	26.0
Sokka	Toph	24.0
Sokka	Warden	5.0
Sokka	Yue	8.0
Sokka	Zhao	2.0
Sokka	Zuko	22.0
Chong	Chong	1.0
Chong	Lily	1.0
Chong	Sokka	3.0
Guard	All	2.0
Guard	Captain	1.0
Guard	Commander	1.0
Guard	Toph	2.0
Guard	Warden	2.0
Guard	Zhao	1.0
Guard	Zuko	2.0
Pakku	Iroh	1.0
Pakku	Pakku	1.0
Sozin	Roku	6.0
Hippo	Hippo	2.0
Azula	All	1.0
Azula	Azula	3.0
Azula	Azulon	1.0
Azula	Both	1.0
Azula	Captain	2.0
Azula	Chan	3.0
Azula	Girls	1.0
Azula	Iroh	1.0
Azula	Lee	6.0
Azula	Li	7.0
Azula	Lo	1.0
Azula	Mai	7.0
Azula	Ozai	1.0
Azula	Sokka	1.0
Azula	Sozin	2.0
Azula	Zuko	19.0
Toph	Aang	11.0
Toph	All	2.0
Toph	Appa	5.0
Toph	Azula	1.0
Toph	Boulder	1.0
Toph	Captain	2.0
Toph	Everyone	5.0
Toph	Guru	1.0
Toph	Haru	1.0
Toph	June	1.0
Toph	Katara	19.0
Toph	Li	1.0
Toph	Man	2.0
Toph	Momo	1.0
Toph	Sokka	15.0
Toph	Suki	1.0
Toph	Toph	5.0
Toph	Zuko	6.0
Koko	Aang	1.0
Aang	Aang	10.0
Aang	All	15.0
Aang	Appa	105.0
Aang	Azula	3.0
Aang	Bato	2.0
Aang	Bumi	17.0
Aang	Captain	1.0
Aang	Chief	2.0
Aang	Duke	1.0
Aang	Everyone	9.0
Aang	General	2.0
Aang	Governor	1.0
Aang	Guru	4.0
Aang	Gyatso	7.0
Aang	Hakoda	1.0
Aang	Hama	1.0
Aang	Haru	1.0
Aang	Jet	9.0
Aang	Jin	7.0
Aang	Katara	101.0
Aang	Koh	1.0
Aang	Koko	1.0
Aang	Li	1.0
Aang	Man	3.0
Aang	Moku	1.0
Aang	Momo	45.0
Aang	Ozai	7.0
Aang	Pakku	3.0
Aang	Piandao	1.0
Aang	Roku	33.0
Aang	Shyu	2.0
Aang	Sokka	87.0
Aang	Sozin	4.0
Aang	Teo	1.0
Aang	Toph	21.0
Aang	Warden	1.0
Aang	Yue	1.0
Aang	Zhao	4.0
Aang	Zookeeper	1.0
Aang	Zuko	21.0
Tyro	Katara	5.0
Tyro	Warden	1.0
Ming	General	1.0
Ming	Iroh	1.0
Iroh	Aang	1.0
Iroh	Azula	5.0
Iroh	Commander	2.0
Iroh	General	1.0
Iroh	June	1.0
Iroh	Ming	2.0
Iroh	Mongke	2.0
Iroh	Ozai	2.0
Iroh	Roku	1.0
Iroh	Smellerbee	1.0
Iroh	Sozin	2.0
Iroh	Zhao	8.0
Iroh	Zuko	55.0
Meng	Aang	3.0
Meng	Meng	2.0
Ying	Aang	1.0
Ying	Ying	1.0
Shyu	Aang	1.0
Shyu	Roku	7.0
Lily	All	1.0
Suki	Aang	2.0
Suki	All	1.0
Suki	Appa	6.0
Suki	Everyone	1.0
Suki	Momo	1.0
Suki	Sokka	10.0
Suki	Suki	1.0
Suki	Warden	3.0
Suki	Zuko	1.0
Haru	Duke	1.0
Haru	Katara	8.0
Haru	Tyro	1.0
Bumi	All	1.0
Bumi	Momo	1.0
Roku	Aang	9.0
Roku	Gyatso	2.0
Roku	Ozai	1.0
Roku	Sozin	9.0
Song	All	1.0
Song	Song	1.0
Appa	Momo	1.0
Ozai	Azula	1.0
Ozai	Iroh	2.0
Ozai	Sozin	1.0
Ozai	Zuko	1.0
Hide	Headmaster	1.0
Guru	Aang	2.0
Guru	Guru	1.0
Chey	Chey	1.0
Zhao	Captain	1.0
Zhao	Commander	1.0
Zhao	General	6.0
Zhao	Iroh	6.0
Zhao	Li	1.0
Zhao	Ozai	1.0
Zhao	Yu	1.0
Zhao	Zhao	5.0
Zhao	Zuko	6.0
Dock	Dock	6.0
Quon	Pao	2.0
Chan	All	1.0
Chan	Chan	1.0
Hahn	All	1.0
Hahn	Chief	1.0
Hahn	Yue	2.0
Zuko	Aang	9.0
Zuko	All	4.0
Zuko	Appa	1.0
Zuko	Azula	18.0
Zuko	Captain	1.0
Zuko	Commander	3.0
Zuko	Everyone	3.0
Zuko	Girls	1.0
Zuko	Haru	1.0
Zuko	Iroh	4.0
Zuko	Jet	1.0
Zuko	June	1.0
Zuko	Katara	5.0
Zuko	Lee	4.0
Zuko	Mai	9.0
Zuko	Mother	4.0
Zuko	Ozai	1.0
Zuko	Sokka	8.0
Zuko	Sozin	3.0
Zuko	Tyro	1.0
Zuko	Ursa	1.0
Zuko	Warden	1.0
Zuko	Zhao	10.0
Zuko	Zuko	4.0
Ursa	All	1.0
Ursa	Azula	3.0
Ursa	Azulon	2.0
Ursa	Iroh	3.0
Ursa	Lee	1.0
Ursa	Mai	1.0
Ursa	Zuko	7.0
Hama	Katara	5.0
Bato	Aang	3.0
Bato	Azulon	1.0
Bato	Chan	1.0
Bato	Hakoda	2.0
Bato	Katara	3.0
Bato	Sokka	8.0
Bato	Superior	1.0
June	Boy	1.0
Sela	Gansu	2.0
Sela	Lee	3.0
Man	Yu	1.0
Mai	Azula	2.0
Mai	Lee	1.0
Mai	Mai	1.0
Mai	Warden	1.0
Mai	Zuko	9.0
Lao	Toph	4.0
Lao	Yu	2.0
Teo	Aang	2.0
Tho	Due	2.0
Tho	Hue	1.0
Pao	Li	1.0
Pao	Pao	1.0
Due	Hue	2.0
Due	Tho	2.0
Jet	Aang	5.0
Jet	All	1.0
Jet	Appa	3.0
Jet	Captain	2.0
Jet	Duke	4.0
Jet	Jet	2.0
Jet	Katara	12.0
Jet	Lee	2.0
Jet	Longshot	4.0
Jet	Pipsqueak	2.0
Jet	Smellerbee	4.0
Jet	Sokka	8.0
Jin	Jin	1.0
Jin	Lee	3.0
Yu	Toph	1.0
Li	Azula	1.0
Li	Li	1.0
Lo	All	1.0
Lo	Li	1.0
